Experiment ID                :  dynamiclandscapes
Problem Type                 :  DL1
Data Input File Name         :  NA
Number of Runs               :  10
Generations per Run          :  200
Population Size              :  100
Selection Method             :  2
Fitness Scaling Type         :  1
Min or Max Fitness           :  min
Crossover Type               :  1
Crossover Rate               :  0.8
Mutation Type                :  1
Mutation Rate                :  0.005
Random Number Seed           :  75982
Number of Genes/Points       :  1
Size of Genes                :  32


 R   1 G 157#######     41.363     14.994
 R   1 G 158#######     43.874      17.53
 R   1 G 159#######      43.64     20.018
 R   1 G 160#######     42.589     19.571
 R   1 G 161#######     37.358     16.258
 R   1 G 162#######     38.329     15.997
 R   1 G 163#######     42.236     17.182
 R   1 G 164#######       41.6     19.909
 R   1 G 165#######     42.181     20.454
 R   1 G 166#######     43.411     24.842
 R   1 G 167#######     40.374     17.032
 R   1 G 168#######     42.239     20.977
 R   1 G 169#######     44.965     22.246
 R   1 G 170#######     44.751     20.093
 R   1 G 171#######     43.755     20.314
 R   1 G 172#######     39.727     13.657
 R   1 G 173#######     40.925     14.962
 R   1 G 174#######     42.089     13.258
 R   1 G 175#######      43.45     16.301
 R   1 G 176#######     44.858     17.397
 R   1 G 177#######     45.218     16.844
 R   1 G 178#######     45.263     15.446
 R   1 G 179#######     41.876     15.225
 R   1 G 180#######      42.37     18.852
 R   1 G 181#######     40.334     18.686
 R   1 G 182#######     42.343     18.214
 R   1 G 183#######     44.967     19.306
 R   1 G 184#######     46.165     20.411
 R   1 G 185#######     47.338     24.067
 R   1 G 186#######     42.548     25.732
 R   1 G 187#######      38.73     24.689
 R   1 G 188#######     42.598     24.661
 R   1 G 189#######     39.479     20.107
 R   1 G 190#######     40.989     22.799
 R   1 G 191#######     43.247     29.561
 R   1 G 192#######       40.4     27.578
 R   1 G 193#######      44.05      35.18
 R   1 G 194#######      44.27     34.344
 R   1 G 195#######     45.269      38.45
 R   1 G 196#######     44.094     34.753
 R   1 G 197#######     50.339      38.28
 R   1 G 198#######     53.194     42.278
 R   1 G 199#######     47.924     34.683
1.0  6.0###########   RawFitness
          640813652#############

 R   2 G   0#######     39.047     36.114
 R   2 G   1#######     41.953     41.637
 R   2 G   2#######     38.919     40.821
 R   2 G   3#######     42.948     47.103
 R   2 G   4#######     42.966     48.446
 R   2 G   5#######     54.902     56.506
 R   2 G   6#######     53.213     54.886
 R   2 G   7#######     55.579     56.579
 R   2 G   8#######     65.537     62.539
 R   2 G   9#######     56.291     61.689
 R   2 G  10#######     73.774     62.751
 R   2 G  11#######     76.447     62.007
 R   2 G  12#######     74.115     58.878
 R   2 G  13#######     73.787     59.247
 R   2 G  14#######     77.713     54.824
 R   2 G  15#######     77.083     57.914
 R   2 G  16#######     77.853     60.777
 R   2 G  17#######     72.664     63.248
 R   2 G  18#######     60.665     58.573
 R   2 G  19#######     60.332     59.324
 R   2 G  20#######     57.496     59.767
 R   2 G  21#######     53.856     54.681
 R   2 G  22#######     55.089     52.286
 R   2 G  23#######     53.569      51.01
 R   2 G  24#######     54.976     52.903
 R   2 G  25#######     54.366     51.404
 R   2 G  26#######     58.953     52.604
 R   2 G  27#######     47.516     51.667
 R   2 G  28#######     38.471     44.972
 R   2 G  29#######     34.178      45.03
 R   2 G  30#######     38.637     42.517
 R   2 G  31#######     46.982       47.6
 R   2 G  32#######     45.161     45.862
 R   2 G  33#######     38.326     41.616
 R   2 G  34#######     39.004      40.44
 R   2 G  35#######      35.98     38.147
 R   2 G  36#######     33.944     37.043
 R   2 G  37#######     32.263     37.831
 R   2 G  38#######     27.054     31.273
 R   2 G  39#######     34.492     44.464
 R   2 G  40#######     33.022     41.667
 R   2 G  41#######     26.706      29.99
 R   2 G  42#######     24.859     28.763
 R   2 G  43#######     24.248     26.593
 R   2 G  44#######      26.48     34.184
 R   2 G  45#######     26.912     33.759
 R   2 G  46#######      31.52     41.201
 R   2 G  47#######     29.155     39.595
 R   2 G  48#######     29.511     42.328
 R   2 G  49#######      29.13     42.003
 R   2 G  50#######     27.799     40.611
 R   2 G  51#######     25.543     34.164
 R   2 G  52#######     31.765     40.002
 R   2 G  53#######     35.554      39.61
 R   2 G  54#######     36.553     42.284
 R   2 G  55#######     28.629     34.162
 R   2 G  56#######     30.585     39.136
 R   2 G  57#######     33.353     41.229
 R   2 G  58#######     32.248     41.558
 R   2 G  59#######     30.649     41.218
 R   2 G  60#######     35.431      47.33
 R   2 G  61#######     34.614      40.43
 R   2 G  62#######     34.876       33.4
 R   2 G  63#######     37.294     39.546
 R   2 G  64#######     33.441     39.046
 R   2 G  65#######     40.069     48.433
 R   2 G  66#######     38.524     40.845
 R   2 G  67#######     39.874     42.701
 R   2 G  68#######      42.23     45.863
 R   2 G  69#######     42.787     46.122
 R   2 G  70#######     42.027     43.925
 R   2 G  71#######     35.444     38.782
 R   2 G  72#######     32.842     37.079
 R   2 G  73#######     28.726     33.378
 R   2 G  74#######     31.502     34.666
 R   2 G  75#######     34.829     38.062
 R   2 G  76#######     35.671     34.854
 R   2 G  77#######     37.109     36.762
 R   2 G  78#######     37.592     36.338
 R   2 G  79#######     44.205     43.247
 R   2 G  80#######     46.438     38.018
 R   2 G  81#######     54.203     43.951
 R   2 G  82#######     54.107     45.683
 R   2 G  83#######     54.571     47.463
 R   2 G  84#######     59.057     47.471
 R   2 G  85#######     60.578     50.195
 R   2 G  86#######     58.503     53.144
 R   2 G  87#######     66.909     52.304
 R   2 G  88#######     69.947     56.249
 R   2 G  89#######     71.129     50.668
 R   2 G  90#######     67.457     50.718
 R   2 G  91#######     62.235     47.712
 R   2 G  92#######     61.604     47.732
 R   2 G  93#######     60.572     48.753
 R   2 G  94#######     60.394     52.128
 R   2 G  95#######     58.721     49.131
 R   2 G  96#######     56.753     52.824
 R   2 G  97#######     64.354     56.916
 R   2 G  98#######       67.0     59.724
 R   2 G  99#######     67.915     54.832
 R   2 G 100#######     68.856     54.948
 R   2 G 101#######     66.009     56.354
 R   2 G 102#######     62.343      56.99
 R   2 G 103#######     55.637      54.28
 R   2 G 104#######     50.912     48.241
 R   2 G 105#######     54.131     53.116
 R   2 G 106#######     57.767     49.664
 R   2 G 107#######     56.444     48.301
 R   2 G 108#######     57.122     48.741
 R   2 G 109#######       66.6     56.411
 R   2 G 110#######      61.96      48.43
 R   2 G 111#######     65.556     50.433
 R   2 G 112#######     70.163     58.494
 R   2 G 113#######     68.733     55.855
 R   2 G 114#######     72.005     54.949
 R   2 G 115#######     67.294     53.206
 R   2 G 116#######     64.919     45.916
 R   2 G 117#######      61.97     41.722
 R   2 G 118#######      65.15     42.333
 R   2 G 119#######     69.017     45.956
 R   2 G 120#######     63.978     44.183
 R   2 G 121#######      67.63     46.957
 R   2 G 122#######     63.403     43.819
 R   2 G 123#######     65.696     43.562
 R   2 G 124#######     68.476     47.233
 R   2 G 125#######     73.901     48.482
 R   2 G 126#######     81.917     50.428
 R   2 G 127#######     71.185     47.989
 R   2 G 128#######     73.639     47.131
 R   2 G 129#######     74.886     48.454
 R   2 G 130#######     75.922     47.818
 R   2 G 131#######     75.839     47.051
 R   2 G 132#######     69.018     43.202
 R   2 G 133#######     70.712     37.988
 R   2 G 134#######     68.033     39.609
 R   2 G 135#######     62.055     37.666
 R   2 G 136#######     62.448     40.095
 R   2 G 137#######     58.425     39.024
 R   2 G 138#######     56.906     41.918
 R   2 G 139#######     48.368       39.4
 R   2 G 140#######     43.821     41.163
 R   2 G 141#######      38.72     35.344
 R   2 G 142#######     36.949     36.504
 R   2 G 143#######     39.018     39.168
 R   2 G 144#######     47.518     49.797
 R   2 G 145#######     49.262     49.526
 R   2 G 146#######     48.291     47.159
 R   2 G 147#######     48.526     44.177
 R   2 G 148#######     47.861     46.442
 R   2 G 149#######     47.895     45.251
 R   2 G 150#######     47.085     45.041
 R   2 G 151#######     55.393     47.397
 R   2 G 152#######     59.782     50.222
 R   2 G 153#######     57.785     48.661
 R   2 G 154#######     62.838     48.636
 R   2 G 155#######      59.93     45.519
 R   2 G 156#######     55.783     40.908
 R   2 G 157#######     52.483      40.61
 R   2 G 158#######     47.646     41.797
 R   2 G 159#######     48.715     40.654
 R   2 G 160#######      56.23     46.711
 R   2 G 161#######     51.444     43.923
 R   2 G 162#######     48.646      43.14
 R   2 G 163#######     53.531     45.157
 R   2 G 164#######     58.723     47.564
 R   2 G 165#######     53.573     46.465
 R   2 G 166#######     54.997      52.12
 R   2 G 167#######     55.339     50.647
 R   2 G 168#######     48.521     46.351
 R   2 G 169#######      48.94     43.499
 R   2 G 170#######     46.811     41.492
 R   2 G 171#######     46.428     46.587
 R   2 G 172#######     43.257     45.706
 R   2 G 173#######      45.85     46.085
 R   2 G 174#######     46.003     48.682
 R   2 G 175#######     44.297     46.693
 R   2 G 176#######     37.934      38.81
 R   2 G 177#######     37.582     36.228
 R   2 G 178#######     43.527     43.286
 R   2 G 179#######     41.872     43.323
 R   2 G 180#######     40.619     44.319
 R   2 G 181#######     37.635     34.893
 R   2 G 182#######     40.548     39.485
 R   2 G 183#######     45.014     38.221
 R   2 G 184#######      40.58      35.49
 R   2 G 185#######     39.668     34.754
 R   2 G 186#######     37.848     33.175
 R   2 G 187#######     36.686      29.57
 R   2 G 188#######     38.821     32.036
 R   2 G 189#######      34.91     28.968
 R   2 G 190#######     32.134     25.639
 R   2 G 191#######     30.072     21.373
 R   2 G 192#######     25.917      17.65
 R   2 G 193#######     33.408     28.125
 R   2 G 194#######     30.925     29.707
 R   2 G 195#######     31.137     33.126
 R   2 G 196#######     29.206     26.083
 R   2 G 197#######     27.223     20.239
 R   2 G 198#######     26.935     19.944
 R   2 G 199#######      21.22     15.664
2.0 ###############   RawFitness
         2047497444#############

 R   3 G   0#######     42.839     40.305
 R   3 G   1#######     40.431     39.632
 R   3 G   2#######     46.092     45.073
 R   3 G   3#######     49.957     46.143
 R   3 G   4#######     43.847     43.741
 R   3 G   5#######     44.344     47.177
 R   3 G   6#######     41.186     46.084
 R   3 G   7#######     42.696     41.846
 R   3 G   8#######     47.596     40.106
 R   3 G   9#######     44.138     42.441
 R   3 G  10#######     41.979     40.175
 R   3 G  11#######      37.82     30.721
 R   3 G  12#######     35.073     26.703
 R   3 G  13#######     37.742     36.077
 R   3 G  14#######     37.171     32.882
 R   3 G  15#######     34.588     30.376
 R   3 G  16#######     33.103      33.14
 R   3 G  17#######     33.309     34.609
 R   3 G  18#######     29.158     27.614
 R   3 G  19#######     28.603     28.488
 R   3 G  20#######     28.632     30.857
 R   3 G  21#######     27.248     27.835
 R   3 G  22#######      25.58     31.415
 R   3 G  23#######     29.153     37.535
 R   3 G  24#######     31.641     36.128
 R   3 G  25#######     29.906     33.442
 R   3 G  26#######     23.328     28.049
 R   3 G  27#######     21.074     28.061
 R   3 G  28#######     24.101     29.665
 R   3 G  29#######     23.731     30.216
 R   3 G  30#######     18.995     23.795
